번호,사업자명,대표,업종,지역,유효기간 만료일,홈페이지
232,주식회사 건동,박봉근,도매및소매업,경기 성남시,2017-04-15,
233,성우스틸(주),선성규,도매및소매업,광주 광산구,2017-04-15,
234,후버테크(주),유지선,제조업,경기 안양시,2017-04-15,
235,(주)대우공업사,유용주,제조업,부산 사하구,2017-04-15,
236,(주)한라엠앤디,안성우,도매및소매업,경기 고양시,2017-04-15,
237,(주)태인,김홍태,도매및소매업,경기 안양시,2017-04-15,
238,목송산업개발(주),이명식,사업서비스업,광주 서구,2017-04-15,
239,동성종합건설(주),정종일,건설업,전남 무안군,2017-04-15,
240,(주)대건,윤평수,제조업,부산 강서구,2017-04-15,
241,서원종합물류(주),김재필,일반서비스업,울산 북구,2017-04-15,
242,와이제이수산(주),송홍국,도소매업,부산 서구,2017-04-15,
243,(주)그린시스템,최광휴,제조업,전북 김제시,2017-04-15,
244,(주)철마금속,김정배,제조업,부산 사상구,2017-04-15,
245,에이치엔지에프,신규병,제조업,전북 익산시,2017-04-16,
246,향돈촌영농조합법인,최종익,제조업,전북 남원시,2017-04-16,
247,(주)에이티에스,강태홍,일반서비스업,제주 제주시,2017-04-16,
248,한백종합철강(주),이원석,제조업,충북 진천군,2017-04-16,
249,(주)우하,우화섭,제조업,충북 청원군,2017-04-16,
250,성우건설(주),강동범,건설업,전북 전주시,2017-04-16,
251,(주)라파프로폴리스,이상무,제조업,전북 전주시,2017-04-16,
252,(주)지오메디칼,박화성,제조업,광주 북구,2017-04-16,
253,(주)화인,김수한,도소매업,인천 서구,2017-04-16,
254,(주)천우스틸,천동우,도매및소매업,부산 사상구,2017-04-16,
255,(자)광진레미콘,이석용,제조업,강원 삼척시,2017-04-16,
256,(주)도야지식품,도학수,제조업,대구 달성군,2017-04-17,
257,보성유화,이성환,도매및소매업,경기 용인시,2017-04-17,
258,모닝하우스,김택환,제조업,경북 경산시,2017-04-17,
259,(주)월드테크,강수일,도매및소매업,대구 달서구,2017-04-17,
260,(주)아우토반코리아,김현진,제조업,대구 서구,2017-04-17,
261,우성전장,이수환,제조업,부산 강서구,2017-04-17,
262,(주)성우엔지니어링,허좌영,제조업,경남 창원시,2017-04-17,
263,(주)이삭전자,윤도현,제조업,경기 안양시,2017-04-17,
